name,type,pos,time,sam,group,dw,amount,markers,Bs,Ea,Eg,Et,Ed,Ez,Es,Pa,Sr,Sq,Sn,Ta,Ps,Pk,Pd,Pz,Nl,Ip,Is,Oc,Oe,Oi,Os,Sp,Sm,Se,Sp,Bs,Gy
CB08,ST,Up,5,4,B,1.041,0.05,422,108,26,9,2,0,1,36,0,2,6,4,9,0,0,4,17,3,0,0,4,0,2,0,6,0,0,17,29,124
CB08,ST,Up,3,1,A,1.049,0.05,423,108,32,13,6,5,10,36,0,14,5,1,7,0,0,7,26,2,1,0,4,0,0,0,11,0,0,26,26,174
CB08,ST,Up,2,4,B,1.419,0.05,213,87,30,12,4,7,6,47,0,10,4,3,13,0,0,4,16,5,0,0,2,0,0,1,11,2,0,32,44,246
CB08,ST,Up,5,1,A,1.211,0.05,445,72,32,12,2,5,6,36,0,12,3,1,5,0,0,3,12,4,0,0,2,0,1,0,13,1,0,16,30,208
CB08,ST,Up,4,3,A,1.082,0.05,315,67,28,14,4,4,6,27,0,5,6,2,11,2,0,2,16,4,0,0,6,0,3,0,21,0,0,15,29,137
CB08,ST,Up,1,3,A,1.059,0.05,272,67,22,5,6,6,4,38,0,11,4,6,11,2,0,2,26,4,0,0,2,0,1,0,12,0,0,8,18,140
CB08,ST,Up,5,3,A,1.185,0.05,305,43,22,14,4,7,3,36,0,4,6,0,7,0,0,1,10,2,0,0,1,0,0,0,7,0,0,15,26,120
CBOR,ST,Up,3,16,B,1.321,0.05,290,141,48,11,3,9,5,48,0,13,2,2,11,0,0,12,30,4,0,0,3,0,4,0,12,0,0,25,40,351
CB08,ST,Up,1,1,A,0.551,0.05,269,45,13,1,1,1,0,11,0,3,0,0,1,0,0,1,5,0,0,0,1,0,0,0,2,0,0,5,6,65
CB08,ST,Up,5,5,A,1.201,0.05,299,100,27,20,3,7,2,38,0,10,4,1,4,1,0,3,14,1,0,0,1,0,2,0,10,0,0,21,33,177
CB08,ST,Up,5,6,B,1.021,0.05,406,70,26,5,1,5,1,34,0,4,3,1,8,1,0,2,18,1,0,0,1,0,1,0,5,0,0,22,30,122
CB08,ST,Up,1,6,B,1.016,0.05,411,91,12,5,2,5,1,32,0,3,2,2,9,0,0,2,13,3,0,0,1,0,2,0,4,0,0,15,29,152
CB08,ST,Up,1,5,A,0.981,0.05,413,73,19,6,2,3,4,50,0,6,4,1,8,1,0,1,14,3,0,0,1,0,0,0,8,0,0,18,24,173
CB08,ST,Up,2,3,A,1.114,0.05,292,126,30,4,4,1,2,57,0,8,5,1,5,0,0,0,19,1,0,0,5,0,1,0,9,0,0,25,29,215
CB08,ST,Up,4,1,A,1.061,0.05,409,99,31,7,3,5,5,38,0,9,1,0,6,0,0,4,16,3,0,1,1,0,0,0,6,0,0,17,32,159
CB08,ST,Up,5,2,B,1.08,0.05,268,65,18,2,1,2,1,30,0,7,1,0,7,0,0,2,11,4,0,0,1,0,0,0,4,0,0,16,29,143
CB08,ST,Up,2,2,B,1.225,0.05,236,123,24,14,3,1,3,45,0,8,4,3,8,1,0,4,27,1,0,0,2,0,0,1,13,0,0,22,50,233
CB08,ST,Up,4,2,B,1.329,0.05,256,89,30,6,2,2,2,50,0,8,5,0,5,0,0,2,7,4,0,0,5,0,0,0,10,0,0,31,37,232
CB08,ST,Up,1,2,B,0.968,0.05,204,110,19,6,1,6,6,34,0,5,4,1,4,0,0,1,17,2,0,0,1,0,0,0,7,0,4,17,20,189
CB08,ST,Up,3,2,B,1.13,0.05,295,110,35,3,3,5,5,51,0,5,4,4,13,1,0,5,25,4,0,0,3,0,0,0,9,0,1,24,49,258
CB08,ST,Up,2,5,A,1.678,0.05,407,123,47,12,2,5,10,60,0,14,6,5,7,0,0,1,37,3,0,0,9,0,2,0,30,0,0,49,55,335
CB08,ST,Up,1,4,B,0.92,0.05,212,58,18,3,5,1,6,20,0,3,6,2,6,1,0,4,16,3,0,0,3,0,0,0,9,0,0,16,14,125
CB08,ST,Up,4,4,B,1.191,0.05,239,68,24,5,1,4,7,33,0,6,1,2,2,2,0,1,18,2,0,0,3,0,0,0,9,0,0,15,37,200
CB08,ST,Up,4,6,B,1.116,0.05,398,46,32,5,1,5,1,49,0,3,1,0,10,0,0,3,17,0,0,0,5,0,0,0,9,0,0,21,24,142
CBOR,ST,Up,3,14,B,1.134,0.05,302,80,28,5,5,3,5,31,0,8,4,3,11,4,0,3,19,2,1,0,6,0,1,0,9,0,0,33,45,221
CB08,ST,Up,2,1,A,1.192,0.05,367,88,41,5,4,1,6,43,0,8,4,3,5,0,0,1,21,3,0,0,2,0,0,0,4,0,0,19,34,185
CB08,ST,Up,4,5,A,1.318,0.05,229,89,43,8,5,4,3,47,0,5,3,5,6,0,0,2,25,4,0,0,6,0,0,0,7,1,0,27,22,218
CB08,ST,Up,0,3,A,1.216,0.05,216,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
CB08,ST,Up,0,4,B,1.216,0.05,332,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
CB08,ST,Low,0,3,A,1.216,0.05,318,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
CB08,ST,Low,0,4,B,1.216,0.05,224,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
GB08,ST,Low,1,5,A,0.497,0.05,314,26,10,4,1,0,1,9,0,5,1,4,4,1,0,1,6,2,0,0,2,0,0,0,6,1,0,10,9,113
